date,File Index,Sample #,Datetime Raw,Datetime Corr,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154.0,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,timecorr,keep,Total Conc filtered,Median filtered,Mean filtered,Geo Mean filtered,GSD filtered,Mode filtered
2023-07-12 23:00:00,2,614.5,2023-07-12T22:29:44Z,2023-07-12T22:29:47Z,413.74469,627.0846083333333,2709.0642966666665,5144.776331666667,3543.2921116666666,687.6248783333333,465.8295233333333,391.544845,1022.4026716666666,1302.78536,619.9675016666666,18.857338333333335,7.672825,16954.646973333332,40.77352,50.804631666666666,41.14199833333333,37.43399,1.9026183333333333,1.2,1.4,-3.1751054170620643,1,16954.646973333332,40.77352,50.804631666666666,41.14199833333333,1.9026183333333333,37.43399
2023-07-13,2,674.5,2023-07-12T23:29:45Z,2023-07-12T23:29:48Z,277.8445883333333,400.65026666666665,331.28496666666666,531.9864033333333,629.35899,597.9248249999999,512.7774833333333,429.47661166666666,308.6336816666667,143.00605333333334,9.259,0.43064166666666664,0.35435333333333335,4172.987863333334,44.049675,53.425873333333335,43.866521666666664,37.444035,1.8858866666666667,1.2,1.4,-3.3878458011514367,1,4172.987863333334,44.049675,53.425873333333335,43.866521666666664,1.8858866666666667,37.444035
2023-07-13 01:00:00,2,734.5,2023-07-13T00:29:45Z,2023-07-13T00:29:48Z,320.9839366666667,365.078395,343.5045666666667,639.9341766666666,788.3316633333334,735.093225,592.2611383333333,467.13782,317.63158166666665,135.09892666666667,5.809208333333333,0,0,4710.864603333333,43.78169166666667,52.207213333333335,43.356395,39.94005166666667,1.8551533333333334,1.2,1.4,-3.600539904579415,1,4710.864603333333,43.78169166666667,52.207213333333335,43.356395,1.8551533333333334,39.94005166666667
2023-07-13 02:00:00,2,794.5,2023-07-13T01:29:45Z,2023-07-13T01:29:48Z,361.90139666666664,1892.252225,1760.406255,1197.9368016666667,970.9916116666667,888.8245983333334,775.6766616666666,645.962595,378.8000616666667,137.05148166666666,5.447651666666666,0.7167933333333333,9.254621666666667,9025.222753333333,40.813575,49.227691666666665,40.996098333333336,36.168575000000004,1.83149,1.2,1.4,-3.8132340080073934,1,9025.222753333333,40.813575,49.227691666666665,40.996098333333336,1.83149,36.168575000000004
2023-07-13 03:00:00,2,854.5,2023-07-13T02:29:45Z,2023-07-13T02:29:49Z,999.3470633333333,900.9314366666666,626.380005,1067.8940516666667,1213.72996,993.0248616666667,674.3157966666666,521.509735,394.479825,199.309255,23.237853333333334,0,0,7614.159823333333,37.396636666666666,47.17288833333333,38.87607833333333,32.77358666666667,1.8525366666666667,1.2,1.4,-4.0259281114353715,1,7614.159823333333,37.396636666666666,47.17288833333333,38.87607833333333,1.8525366666666667,32.77358666666667
2023-07-13 04:00:00,2,914.5,2023-07-13T03:29:45Z,2023-07-13T03:29:49Z,2566.9162283333335,3924.222981666667,2608.0572216666665,2738.1796566666667,2185.8392049999998,1167.924345,642.784505,449.1302133333333,465.74310833333334,363.52444,109.768095,0.79948,1.5853466666666667,17224.474831666666,28.035613333333334,36.75844166666667,29.83074166666667,25.848323333333333,1.839745,1.2,1.4,-4.23862221486335,1,17224.474831666666,28.035613333333334,36.75844166666667,29.83074166666667,1.839745,25.848323333333333
2023-07-13 05:00:00,2,974.5,2023-07-13T04:29:45Z,2023-07-13T04:29:49Z,4559.390346666667,5718.641023333334,2853.595525,3061.9881883333333,2807.837861666667,1854.921325,1065.3918066666668,929.750675,829.2025866666667,473.57645333333335,59.88562,0.9768733333333334,0,24215.158301666666,24.193863333333333,34.802731666666666,26.617893333333335,18.465756666666667,1.9879266666666666,1.2,1.4,-4.451316318291328,1,24215.158301666666,24.193863333333333,34.802731666666666,26.617893333333335,1.9879266666666666,18.465756666666667
2023-07-13 06:00:00,2,1034.5,2023-07-13T05:29:45Z,2023-07-13T05:29:49Z,3184.0882500000002,4331.564,2154.637833333333,2014.0925616666666,1858.028935,1428.9735066666667,1059.4445566666666,946.135915,759.3744133333333,374.247775,28.844205,0,3.989295,18143.421265,28.678983333333335,39.207193333333336,30.199596666666668,23.70961666666667,2.0053283333333334,1.2,1.4,-4.664010421719307,1,18143.421265,28.678983333333335,39.207193333333336,30.199596666666668,2.0053283333333334,23.70961666666667
2023-07-13 07:00:00,2,1094.5,2023-07-13T06:29:45Z,2023-07-13T06:29:49Z,1619.7607166666667,2329.527071666667,2093.7591733333334,2807.8899533333333,2543.281556666667,1643.9413816666668,1099.4012950000001,817.1647566666667,682.15412,429.33655666666664,108.98218166666666,0.4716416666666667,1.3918316666666668,16177.062248333334,32.17533,41.464545,32.87183,26.674196666666667,1.9473016666666667,1.2,1.4,-4.876704525147285,1,16177.062248333334,32.17533,41.464545,32.87183,1.9473016666666667,26.674196666666667
2023-07-13 08:00:00,2,1154.5,2023-07-13T07:29:45Z,2023-07-13T07:29:50Z,1841.2639183333333,2275.642005,1533.566045,1873.0214883333333,1718.1363133333334,1144.5194883333334,694.9635333333333,564.6535466666667,532.76046,340.07279666666665,68.40248333333334,14.716301666666666,5.17423,12606.89263,30.94607,41.68329333333333,32.18584,23.99251166666667,1.9909816666666666,1.2,1.4,-5.089398628575263,1,12606.89263,30.94607,41.68329333333333,32.18584,1.9909816666666666,23.99251166666667
2023-07-13 09:00:00,2,1214.5,2023-07-13T08:29:45Z,2023-07-13T08:29:50Z,2573.734585,3740.5334516666667,2031.455375,2164.7449033333332,2017.4955966666666,1412.7920183333333,805.857,602.14181,470.6373,288.34158,90.07259833333333,9.261621666666667,0.5717716666666667,16207.639615,28.124046666666665,38.07281833333333,29.624186666666667,21.590641666666667,1.9594433333333334,1.2,1.4,-5.302092732003241,1,16207.639615,28.124046666666665,38.07281833333333,29.624186666666667,1.9594433333333334,21.590641666666667
2023-07-13 10:00:00,2,1274.5,2023-07-13T09:29:45Z,2023-07-13T09:29:50Z,2803.2740599999997,3082.4379416666666,1288.3273666666666,1434.694225,1539.66418,1094.974295,670.85828,440.94640833333335,389.10368,294.654535,130.28520666666668,23.568535,16.73434,13209.523058333334,34.220371666666665,44.8906,35.819273333333335,31.888225000000002,1.89128,1.2,1.4,-5.51478683543122,1,13209.523058333334,34.220371666666665,44.8906,35.819273333333335,1.89128,31.888225000000002
2023-07-13 11:00:00,2,1334.5,2023-07-13T10:29:45Z,2023-07-13T10:29:50Z,1160.6767783333332,1479.862965,903.016935,1670.2461216666668,1842.1164033333334,1217.5246283333333,682.3519666666666,502.91799833333334,376.37892,353.9692033333333,195.88498166666668,41.650864999999996,9.50194,10436.099705,37.162315,47.760575,38.253663333333336,31.217918333333333,1.9167766666666666,1.2,1.4,-5.727480938859198,1,10436.099705,37.162315,47.760575,38.253663333333336,1.9167766666666666,31.217918333333333
2023-07-13 12:00:00,2,1394.5,2023-07-13T11:29:45Z,2023-07-13T11:29:50Z,864.508165,1173.9030033333333,2344.174765,2992.01324,2177.0143883333335,888.7552833333333,654.7467883333334,570.9527966666667,659.9361283333334,630.50902,275.5349233333333,16.612591666666667,14.926863333333333,13263.587961666666,41.75761166666667,52.371425,41.65743166666667,38.97383666666667,1.9554266666666666,1.2,1.4,-5.940175042287176,1,13263.587961666666,41.75761166666667,52.371425,41.65743166666667,1.9554266666666666,38.97383666666667
